Client_name,grade,emp_title,emp_length,home_ownership,annual_inc,addr_state
16520581,B,1ST Sergeant,10+ years,RENT,82000.0,WA
27769308,C,Counselor,1 year,MORTGAGE,40000.0,NV
10338197,B,Teacher,10+ years,MORTGAGE,118000.0,CA
930900,B,NOVA Southeastern University,3 years,OWN,36000.0,FL
33289240,A,Bartender/Server,10+ years,MORTGAGE,75000.0,TX
8537986,C,The University of Tennessee,8 years,RENT,38000.0,TN
12012051,A,"Director, Solutions Management",< 1 year,MORTGAGE,152000.0,VA
64943898,B,Licensed Addiction Counselor II,10+ years,RENT,52200.0,MN
43938561,E,Office Manager,10+ years,MORTGAGE,92000.0,IN
18394358,C,Executive Vice President ,1 year,RENT,175000.0,CO
67059319,D,Network Administrator,10+ years,MORTGAGE,68000.0,NJ
11689088,B,Consultant,1 year,RENT,105000.0,MA
11954494,G,REVENUE AGENT,5 years,MORTGAGE,65000.0,FL
63137948,A,Materials Engineer,2 years,MORTGAGE,110000.0,AL
1222931,A,Maggianos,5 years,RENT,40800.0,PA
64151906,B,IT,10+ years,OWN,78000.0,NJ
2117327,C,,,RENT,36000.0,HI
47884419,A,machine tender,10+ years,MORTGAGE,94000.0,MI
961025,C,American Mobile Healthcare,3 years,RENT,50000.0,CA
1415586,B,Columbus Cardiology,< 1 year,RENT,300000.0,GA
3871337,B,Medical Center Radiology,10+ years,RENT,52000.0,FL
15110279,F,Program Manager,5 years,MORTGAGE,55000.0,AZ
1400448,A,Charter Oak Financial/MassMutual,10+ years,MORTGAGE,55000.0,CT
13208459,B,Buyer/Planner,6 years,RENT,58000.0,CA
8339669,C,First Transit,3 years,RENT,88000.0,AZ
1202989,B,State Bar of Georgia,10+ years,MORTGAGE,80000.0,GA
10636948,C,patient representative,1 year,OWN,57000.0,TX
70274980,C,General manager,< 1 year,RENT,54000.0,PA
8134614,B,Verizon Wireless,9 years,RENT,52000.0,SC
24725483,C,bartender,< 1 year,RENT,40000.0,FL
15158850,D,,,RENT,34043.0,NC
1661824,B,US Coast Guard,10+ years,RENT,65000.0,RI
491487,E,TD Bank,4 years,MORTGAGE,50700.0,NJ
13248415,A,Staff Nurse,< 1 year,RENT,86000.0,NC
23903918,C,manager,10+ years,RENT,45000.0,TX
863008,A,GreenPath,4 years,RENT,48000.0,MI
14518255,C,Field Engineer,3 years,MORTGAGE,50000.0,SC
66216250,C,General Manager,2 years,MORTGAGE,78470.65,AL
40976380,B,Claims Anayst,3 years,MORTGAGE,34000.0,NH
7007021,C,Hospital University of Pennsylvania,3 years,MORTGAGE,220000.0,PA
51462603,E,lead quality auditor,10+ years,MORTGAGE,59000.0,PA
36474938,C,Driver,9 years,OWN,64000.0,NJ
72647218,A,Integration Engineer,< 1 year,MORTGAGE,117000.0,CO
8708988,D,sacramento county,10+ years,OWN,110000.0,CA
54586817,E,welder,1 year,RENT,36000.0,CA
58941959,B,"Manager, Dealer Agreements",10+ years,MORTGAGE,95000.0,MI
71162046,B,Mechanic,1 year,MORTGAGE,46163.0,OH
64373531,A,Director for Hospital Services,2 years,MORTGAGE,120000.0,TX
25546466,C,Regional Sales Manager,4 years,MORTGAGE,175000.0,MI
15829867,B,General Manager,2 years,MORTGAGE,65000.0,FL
58114385,E,Billing Lead,6 years,MORTGAGE,42000.0,CA
58731465,E,Education Coordinator,2 years,RENT,52000.0,MA
4858620,B,AGRISOFT CMC,5 years,RENT,97000.0,CA
34371329,A,Executive Pastor,10+ years,MORTGAGE,60000.0,CA
852088,B,"Ross Stores, Inc",10+ years,MORTGAGE,110000.0,CA
72239341,C,Caregiver,1 year,RENT,27720.0,OR
8723878,B,Washington University,3 years,MORTGAGE,60000.0,MO
2827553,A,Abtech Systems,10+ years,RENT,150000.0,CA
70430109,B,Principal,2 years,MORTGAGE,85000.0,TX
41016234,B,Installation/Repair Technician,10+ years,MORTGAGE,65000.0,CT
62514296,E,Associate Director of Finance,6 years,RENT,150000.0,NY
9328005,B,Regional Revenue Manager,6 years,MORTGAGE,75000.0,OH
595301,A,Citibank,10+ years,MORTGAGE,260000.0,CT
42466633,D,Systems Operator,8 years,RENT,48000.0,NV
1706981,A,Agfa Gevert ,10+ years,RENT,50000.0,NY
61497033,A,clinician,< 1 year,MORTGAGE,45000.0,LA
41115046,C,Editor,2 years,RENT,35000.0,AZ
695030,C,Internal Revenue Service,10+ years,RENT,42996.0,PA
3780559,D,,,MORTGAGE,71700.0,CA
64771169,B,Construction Superintendant ,9 years,RENT,54000.0,CA
15108253,C,Mechanic,8 years,OWN,45000.0,IN
37286626,C,Supervisor Assistant,< 1 year,RENT,77600.0,WI
71198560,B,Sales Manager,10+ years,MORTGAGE,62000.0,NY
43395810,C,Store Manager,3 years,RENT,45000.0,GA
1782152,C,Parkside Associates,10+ years,RENT,39000.0,CA
43809005,C,Pharmacy Manager,7 years,MORTGAGE,126000.0,WA
33679411,C,Art Director,10+ years,MORTGAGE,64000.0,PA
158286,C,Snelson Co. inc,< 1 year,RENT,80000.0,NY
991788,B,Dito,< 1 year,RENT,65000.0,MI
53243697,A,Software Engineer,7 years,RENT,88000.0,NY
46386868,F,IT Director,3 years,MORTGAGE,98000.0,CA
67758830,C,Firefighter/Basic,9 years,MORTGAGE,50000.0,VA
37085339,B,Injection Technician,5 years,MORTGAGE,28000.0,MS
43946859,C,monitor on school bus,5 years,MORTGAGE,66373.0,GA
37958077,A,CBT Developer,2 years,MORTGAGE,66000.0,AR
11961629,E,Installer,4 years,RENT,80000.0,OR
21188350,B,Director and Actuary,7 years,MORTGAGE,138000.0,NJ
23873425,B,,,RENT,40000.0,NY
58773750,B,electrical estimator,10+ years,MORTGAGE,130000.0,TX
4590656,C,Johnson & Johnson,5 years,MORTGAGE,77600.0,PA
300025,E,Valley Medical Center,< 1 year,RENT,48000.0,WA
62645535,F,Bus Driver,2 years,MORTGAGE,51000.0,IL
41200407,B,,,MORTGAGE,36000.0,CA
62654920,B,FINANCIAL ACTUARY,2 years,MORTGAGE,120000.0,NE
5407699,E,fabco,< 1 year,RENT,50000.0,CA
21899621,C,TRUCKDRIVER/ MECANIC,10+ years,OWN,68000.0,PA
48422174,A,Assoc. Chief Financial Officer,9 years,MORTGAGE,175000.0,FL
58538916,A,Personal trainer,4 years,RENT,20000.0,CT
62482888,B,Owner,8 years,MORTGAGE,45000.0,GA
1599858,C,,,RENT,11000.0,IL
38691504,C,Financial Analyst,10+ years,RENT,95784.0,VA
54158889,C,Sales Manager,9 years,MORTGAGE,110000.0,NJ
39012493,C,Sargeant,7 years,MORTGAGE,36000.0,LA
72529360,C,Lecturer,5 years,MORTGAGE,65000.0,NY
30174659,C,Supervisor,10+ years,RENT,99000.0,NY
25475676,A,partner,10+ years,MORTGAGE,700000.0,NY
9032445,B,BWMC,10+ years,RENT,34415.0,MD
7008713,E,NYCT/MABSTOA,10+ years,RENT,92000.0,NY
68671493,D,Account Executive,9 years,MORTGAGE,85000.0,OK
15739761,B,Server,5 years,RENT,29000.0,IL
37898222,A,"Business Consultant, Project Manager",10+ years,OWN,111000.0,NY
5797119,A,,,MORTGAGE,50276.0,IL
70079758,E,Independent Contractor,1 year,RENT,55000.0,NY
2426592,C,J & C Tropicals,3 years,MORTGAGE,50000.0,FL
20107238,D,biller/coder,2 years,MORTGAGE,56637.0,MO
49890670,B,Manager Business Development,< 1 year,OWN,140000.0,TX
72917442,B,Welder,4 years,RENT,48000.0,CA
1485938,B,Twin Rivers Unified School District ,8 years,MORTGAGE,95000.0,CA
1661711,A,FAA,10+ years,MORTGAGE,185000.0,TX
59590217,B,System Director,4 years,MORTGAGE,270000.0,KY
67169434,D,Financial Services Technician,3 years,RENT,50000.0,FL
1250631,C,Administrator,10+ years,MORTGAGE,117000.0,GA
22422919,C,Operations Manager,5 years,RENT,60000.0,NY
9040687,C,Murphy Tractor and Equipment Company,10+ years,RENT,60000.0,MO
682649,B,Los Alamos National Lab,10+ years,MORTGAGE,91100.0,NM
803090,C,General Atomics,< 1 year,MORTGAGE,50000.0,CA
8529266,C,SGMF,1 year,RENT,28000.0,CA
63038398,B,Branch Manager,6 years,MORTGAGE,72000.0,CO
15010330,A,Warehouse clerk,5 years,RENT,66000.0,TX
59762016,A,PRA,10+ years,MORTGAGE,45000.0,CO
6029568,B,Jefferson Regional Medical Center,5 years,RENT,65000.0,AR
66382892,C,I and E Designer ,1 year,MORTGAGE,90000.0,TX
46302236,A,Technician ,7 years,MORTGAGE,60000.0,FL
72658272,B,Bus driver ,10+ years,RENT,65000.0,MO
63087652,C,Foreman,2 years,MORTGAGE,84000.0,AK
70740923,E,,,MORTGAGE,52375.0,LA
53898075,D,Program Coordinator,10+ years,MORTGAGE,52000.0,CA
1297966,A,northstar fire protection,10+ years,MORTGAGE,65000.0,TX
68780465,A,Media / Lighting Director ,4 years,MORTGAGE,52000.0,OK
54786061,B,RN,5 years,RENT,100000.0,CA
66115686,E,Optical Manager,10+ years,RENT,63000.0,FL
41253252,D,service support,2 years,RENT,22000.0,NJ
64822263,D,Administrative Assistant,10+ years,MORTGAGE,38000.0,LA
55338659,B,Sales ,10+ years,MORTGAGE,65000.0,TX
63068653,C,tech support,4 years,RENT,45000.0,CA
51732983,C,LPN,5 years,MORTGAGE,32000.0,NY
35673320,A,,,OWN,29537.0,OK
46516540,B,,,MORTGAGE,75000.0,OH
46816833,C,Plant Operations,9 years,MORTGAGE,45000.0,FL
4722202,C,United Airlines,10+ years,RENT,45000.0,MN
10761832,D,Technicician,10+ years,RENT,109000.0,NY
43407586,A,Marketing officer,10+ years,OWN,70000.0,FL
12480011,B,Loan Doc Specialist,10+ years,RENT,29000.0,MO
13380393,B,Sergeant,7 years,RENT,33000.0,GA
18434638,A,general manager,9 years,RENT,42000.0,NJ
43936818,B,office manager,9 years,MORTGAGE,40000.0,MD
10391011,D,Executive Assistant,10+ years,RENT,90000.0,WA
1188852,C,raw hide,< 1 year,RENT,30000.0,KS
65438430,C,Executive Assistant,8 years,MORTGAGE,100000.0,CA
8079578,B,ZEAG America,5 years,MORTGAGE,60000.0,MN
65671196,B,Sr. Project Manager,3 years,RENT,150000.0,CA
52841980,B,Writer,4 years,RENT,40000.0,CA
1117501,D,AccountMate Software,6 years,MORTGAGE,51000.0,CA
12031894,A,Teacher,6 years,MORTGAGE,48000.0,TX
49984766,B,HR/Safety Manager,9 years,MORTGAGE,75000.0,TX
8527646,B,Security Service,6 years,MORTGAGE,63000.0,UT
57558148,E,Fleet Manager,2 years,OWN,80000.0,IL
34041190,C,Caseworker,3 years,MORTGAGE,45000.0,NY
32658535,B,Environmental Driller,2 years,RENT,75000.0,NJ
2425896,D,Malheur Drug #2,6 years,MORTGAGE,38000.0,OR
69959647,E,Sales,10+ years,RENT,55000.0,NJ
43907901,E,Manager,6 years,RENT,40000.0,FL
1870034,C,National Geographic Publishing,< 1 year,RENT,65000.0,CA
7670201,C,UPS,10+ years,RENT,56160.0,GA
44005889,C,Seed Technichian,5 years,RENT,26000.0,MN
14517998,C,Medical Biller,4 years,RENT,50112.0,CA
59055817,B,Pharmacy technician,1 year,OWN,50000.0,IL
13968057,B,,< 1 year,RENT,68000.0,CA
47874792,C,Speech Language Pathology Assistant,2 years,RENT,68500.0,AK
8733589,B,Home Depot,8 years,MORTGAGE,61000.0,CA
11527905,B,,7 years,RENT,55000.0,CA
34832281,C,Aircraft Technician,< 1 year,RENT,62000.0,OR
32398116,B,pm,10+ years,MORTGAGE,83200.0,NJ
8339185,C,J.M. Field Marketing,5 years,MORTGAGE,75000.0,PA
31216536,C,Consultant,< 1 year,RENT,160000.0,NY
41370903,C,pharmacy clerk,10+ years,RENT,49000.0,CA
8560474,D,Buckeye CableSystems,2 years,RENT,26000.0,OH
10356875,B,Senior Estimator,8 years,MORTGAGE,190000.0,CA
43406001,C,,,RENT,27802.8,CO
53442847,A,Vice President,10+ years,MORTGAGE,48000.0,OH
26267534,C,Teacher,3 years,RENT,45000.0,CT
63100086,C,Teacher,10+ years,MORTGAGE,70000.0,NY
43416619,C,Lending Manager,10+ years,MORTGAGE,105000.0,IL
722607,E,"Forester Properties, Inc.",3 years,RENT,40800.0,CA
70641280,C,"Director, Learning",8 years,MORTGAGE,140000.0,GA
4171682,C,halifax country club,4 years,RENT,36000.0,MA
16310953,B,LPN,6 years,MORTGAGE,44337.0,IN
4849914,C,Genuine Parts Company,10+ years,MORTGAGE,97000.0,GA
45280997,D,Engineer,9 years,OWN,115000.0,CA
2733172,E,Bernard's salon,2 years,RENT,12000.0,NJ
64836554,C,Advanced Repair Agent,1 year,OWN,18000.0,CT
1028404,A,Sprint,2 years,OWN,32000.0,KS
8557774,F,Huntington Ingalls Industries,10+ years,MORTGAGE,52000.0,VA
16522161,E,asmo,9 years,RENT,60000.0,NJ
23643560,C,Probation/Parole Agent,10+ years,RENT,48000.0,WI
67870919,C,Senior Project Manager ,2 years,MORTGAGE,75000.0,OK
44857139,F,Csc,4 years,MORTGAGE,75000.0,PA
34963326,B,Buyer/Admin Asst,10+ years,MORTGAGE,41600.0,AR
58729296,B,Partner,9 years,OWN,142000.0,NV
23893925,D,electrician,10+ years,OWN,58000.0,SC
53907707,D,Chef,10+ years,MORTGAGE,68500.0,CT
57535838,D,Tax Associate,2 years,RENT,50000.0,MA
10707815,B,surgical tech,5 years,RENT,65000.0,CA
1852768,A,Wells Fargo,10+ years,MORTGAGE,48000.0,MN
42992701,B,,,MORTGAGE,25000.0,MN
66394440,A,Owner,10+ years,MORTGAGE,74000.0,TN
39880682,B,vice president,10+ years,MORTGAGE,90000.0,IN
998890,C,Hedrick Brothers Construction,4 years,RENT,60000.0,FL
671134,D,usps,10+ years,MORTGAGE,60000.0,WY
8069377,D,John R Houck Co.,9 years,MORTGAGE,33600.0,VA
63345035,C,Plant Manager III,10+ years,RENT,161000.0,GA
62969849,C,server/ pastry,4 years,RENT,30000.0,NJ
49724867,B,Manager,10+ years,MORTGAGE,52000.0,CT
57095846,D,Director of Strategic Planning,9 years,MORTGAGE,135000.0,TX
62394691,B,State Parole Agent ,10+ years,MORTGAGE,98000.0,CA
43560372,C,IT Systems Administrator,10+ years,RENT,67000.0,MA
9430964,B,Customer Service Representative,8 years,RENT,36000.0,CA
31005850,B,Administrator,10+ years,RENT,42000.0,CA
71289995,C,Owner,10+ years,MORTGAGE,36000.0,NJ
33730899,C,mng,9 years,MORTGAGE,62400.0,FL
43225366,B,Teacher,3 years,RENT,36000.0,VA
65429882,D,Electronics Coordinator,10+ years,RENT,43000.0,CA
54526658,C,Fueler,< 1 year,RENT,67500.0,MO
39496128,B,Engineer,5 years,MORTGAGE,110000.0,KS
5492790,E,Columbia University Medical Center,10+ years,RENT,54000.0,NJ
44113221,B,optician,5 years,MORTGAGE,37500.0,MI
8427208,D,verizon,10+ years,RENT,120000.0,NY
8438024,C,ODOC,10+ years,MORTGAGE,60000.0,OR
45981274,A,Dispatcher/911 Operator,9 years,MORTGAGE,80000.0,AZ
53968182,A,Managing Director,7 years,RENT,165000.0,CA
21729041,E,VP,1 year,MORTGAGE,110000.0,SC
2728805,B,CA Technologies,7 years,MORTGAGE,210000.0,NY
10297525,B,,,MORTGAGE,65000.0,CA
61484856,B,City Clerk,10+ years,MORTGAGE,108000.0,CO
72087142,B,Selector,< 1 year,RENT,30000.0,CO
10752630,B,Auditor,5 years,MORTGAGE,61800.0,WY
9399517,A,Quality Technician,6 years,MORTGAGE,67000.0,TN
38971448,D,Senior Nurse Practitioner,8 years,OWN,101000.0,MD
10547516,C,driver,10+ years,RENT,25000.0,VA
23594032,C,IT Tech 2,6 years,MORTGAGE,72000.0,WA
913586,B,Oakley,3 years,RENT,68000.0,CA
65543480,B,Operations Supervisor,4 years,MORTGAGE,65000.0,KS
11626793,B,Service food associate,8 years,MORTGAGE,40000.0,AK
66492571,F,general manager,10+ years,RENT,150000.0,SC
663575,C,post office,10+ years,MORTGAGE,6000000.0,CA
15559144,D,Radiology Supervisor,10+ years,OWN,68000.0,NC
32327308,C,pricer 7,10+ years,MORTGAGE,55000.0,MI
62989683,A,General Manager,10+ years,OWN,97475.0,TX
1416727,A,CGI Technologis and Solutions INC,2 years,RENT,79500.0,NC
27189629,A,Chief Investment Strategist,10+ years,MORTGAGE,170000.0,WA
15079294,C,Operations Manager,10+ years,MORTGAGE,68000.0,TN
65912293,B,Senior HIT Specialist,8 years,MORTGAGE,67500.0,NC
57738474,B,Pharmacist,9 years,MORTGAGE,100000.0,FL
13599338,B,Admin Asst,8 years,MORTGAGE,50160.0,CO
70258617,C,Owner/Partner,5 years,MORTGAGE,100000.0,CA
64119966,D,steward1,10+ years,MORTGAGE,68000.0,AL
40583869,E,Banker,10+ years,MORTGAGE,70000.0,WA
49223206,E,Service tech,5 years,RENT,45000.0,FL
26828068,C,Inventory Analyst,7 years,RENT,72000.0,IL
66036089,C,Property Manager,3 years,RENT,60000.0,CA
37076569,B,Import Coordinator,2 years,MORTGAGE,34000.0,IL
35092174,D,Cashier,10+ years,MORTGAGE,58470.0,PA
12458385,D,Police Service Aid,3 years,OWN,30000.0,NM
65437799,A,Vice President,8 years,MORTGAGE,260000.0,CA
49913643,B,OTR Truck Driver,3 years,RENT,70000.0,IL
43935308,D,Sr. Clinical Team Manager,10+ years,MORTGAGE,108719.0,NC
25736068,B,Billing,2 years,MORTGAGE,43000.0,CO
25476496,C,IT Project Leader,3 years,MORTGAGE,99000.0,IL
23913943,C,Owner and Operator,2 years,MORTGAGE,200000.0,GA
58861540,C,Associate Director of Bands,5 years,MORTGAGE,57000.0,AL
42782343,E,Director of Innovation,< 1 year,RENT,120000.0,CO
58769059,C,clinical staff,10+ years,RENT,35000.0,NC
9429017,F,Customer Service Rep,2 years,RENT,33000.0,MD
53816391,D,Registered Nurse ,10+ years,MORTGAGE,122000.0,IL
8730630,B,Eisenhower Nursing and Convalescent Hosp,< 1 year,RENT,55000.0,CA
9867392,C,Legal Secretary,5 years,RENT,80000.0,MD
11007301,B,Bartender,1 year,RENT,30000.0,TX
61545909,A,Data Loss Prevention leader,10+ years,MORTGAGE,175000.0,MI
73405751,B,District manager,< 1 year,RENT,125000.0,CA
22009356,B,Solution Specialist,3 years,RENT,145000.0,NC
10837458,D,Office Manager,1 year,RENT,30000.0,TX
30005488,C,Production planning manager,10+ years,MORTGAGE,90000.0,LA
70600749,C,customer service representative ,1 year,MORTGAGE,52000.0,IN
46496278,B,Athletic Director/Coach/Faculty,10+ years,MORTGAGE,150000.0,AR
5491319,C,UniFocus ,10+ years,MORTGAGE,95000.0,TX
916377,B,VF Corp,1 year,MORTGAGE,114600.0,TX
984555,A,Bolder Inc,< 1 year,RENT,42000.0,CA
612005,C,scientel wireless,2 years,RENT,60000.0,TX
9431727,E,,10+ years,RENT,64000.0,CA
1750304,E,Diageo Global Supply,10+ years,MORTGAGE,90000.0,IL
12024314,D,evidenceevidence/ crime scene tech,6 years,MORTGAGE,32000.0,FL
11498076,E,Sr Mkt Manager,3 years,MORTGAGE,147000.0,MA
25235590,D,Sales,4 years,RENT,40000.0,CA
67813229,A,Assistant Suppervisor,10+ years,OWN,52000.0,OK
54188851,E,,,OWN,88000.0,OH
10752607,C,Camera technician/Repair coordinator,10+ years,RENT,52000.0,CA
30965525,C,Technician,10+ years,MORTGAGE,65000.0,SC
24556044,F,Event Trchnology Specialist,2 years,MORTGAGE,60000.0,VA
40935419,D,RTV clerk,10+ years,MORTGAGE,45000.0,NJ
59116678,E,Asst Regional Manager,10+ years,RENT,65000.0,FL
7652268,E,Metropolitan Group,3 years,MORTGAGE,104000.0,OR
62958251,D,Sales Associate,10+ years,MORTGAGE,37000.0,NC
41228492,B,Driver,1 year,MORTGAGE,42000.0,TN
9420855,C,Director,3 years,RENT,60000.0,CA
16632890,E,ISS,< 1 year,MORTGAGE,55000.0,AK
72059065,B,Assembly ,< 1 year,RENT,40000.0,MI
49778778,B,Driver,3 years,MORTGAGE,47000.0,WA
14838494,C,Teacher,7 years,MORTGAGE,37823.0,IN
7012578,C,HSBC,6 years,MORTGAGE,130000.0,WI
1811604,E,usf holland,10+ years,MORTGAGE,80000.0,OH
18565324,C,Owner,10+ years,MORTGAGE,110000.0,NH
58549520,D,Supervisor,10+ years,MORTGAGE,64655.0,TX
23382301,B,carpenter,10+ years,RENT,42000.0,VA
10847658,C,VP,10+ years,OWN,70000.0,PA
1235917,C,MVP sales,10+ years,MORTGAGE,112000.0,MI
3639235,D,Hoselton Auto mall,7 years,RENT,56000.0,NY
28642893,B,EVS Attendant,1 year,RENT,25000.0,IL
15238865,C,"inspector, tool & gage",10+ years,MORTGAGE,100000.0,MO
21379683,C,Transporter,3 years,RENT,54000.0,AZ
51876683,E,Accountant,5 years,RENT,50000.0,TN
69535848,C,Social Worker,6 years,MORTGAGE,70000.0,SC
2434617,B,doctors office,4 years,RENT,35000.0,NJ
54035104,A,Administrator,10+ years,OWN,41000.0,LA
68400269,B,Manager,1 year,RENT,23000.0,NC
7757179,D,Franks j&d pizzeria,10+ years,RENT,28000.0,NJ
17512053,B,,,MORTGAGE,80000.0,NJ
27719986,B,Insurance Sales Producer,10+ years,OWN,45000.0,FL
19555857,E,Editor,5 years,MORTGAGE,156000.0,CA
41211455,B,IS analyst,4 years,MORTGAGE,95000.0,IL
49782845,E,Associate Director,2 years,MORTGAGE,85000.0,NY
69981496,A,CFO,10+ years,MORTGAGE,240000.0,WA
1084121,B,Euro-American Tours,6 years,MORTGAGE,32760.0,OK
26326302,D,overnight stocker,10+ years,RENT,28880.0,SD
65005297,A,Problem Case Officer,10+ years,MORTGAGE,120000.0,CO
51702848,B,Project Superintendent,9 years,RENT,66000.0,IN
1854227,B,RCM Health Care,6 years,RENT,70000.0,NY
72768560,D,Deputy Sheriff,10+ years,MORTGAGE,70000.0,AZ
69843165,D,Assistant VP of Member Services,< 1 year,RENT,90000.0,CA
1058724,B,Sheriffs Office,3 years,RENT,40000.0,NC
