Media_manchas,Month,Year
54.6,1,1773.0
29.0,2,1773.0
51.2,3,1773.0
32.9,4,1773.0
41.1,5,1773.0
28.4,6,1773.0
27.7,7,1773.0
12.7,8,1773.0
29.3,9,1773.0
26.3,10,1773.0
40.9,11,1773.0
43.2,12,1773.0
46.8,1,1774.0
65.4,2,1774.0
55.7,3,1774.0
43.8,4,1774.0
51.3,5,1774.0
28.5,6,1774.0
17.5,7,1774.0
6.6,8,1774.0
7.9,9,1774.0
14.0,10,1774.0
17.7,11,1774.0
12.2,12,1774.0
4.4,1,1775.0
0.0,2,1775.0
11.6,3,1775.0
11.2,4,1775.0
3.9,5,1775.0
12.3,6,1775.0
1.0,7,1775.0
7.9,8,1775.0
3.2,9,1775.0
5.6,10,1775.0
15.1,11,1775.0
7.9,12,1775.0
21.7,1,1776.0
11.6,2,1776.0
6.3,3,1776.0
21.8,4,1776.0
11.2,5,1776.0
19.0,6,1776.0
1.0,7,1776.0
24.2,8,1776.0
16.0,9,1776.0
30.0,10,1776.0
35.0,11,1776.0
40.0,12,1776.0
45.0,1,1777.0
36.5,2,1777.0
39.0,3,1777.0
95.5,4,1777.0
80.3,5,1777.0
80.7,6,1777.0
95.0,7,1777.0
112.0,8,1777.0
116.2,9,1777.0
106.5,10,1777.0
146.0,11,1777.0
157.3,12,1777.0
177.3,1,1778.0
109.3,2,1778.0
134.0,3,1778.0
145.0,4,1778.0
238.9,5,1778.0
171.6,6,1778.0
153.0,7,1778.0
140.0,8,1778.0
171.7,9,1778.0
156.3,10,1778.0
150.3,11,1778.0
105.0,12,1778.0
114.7,1,1779.0
165.7,2,1779.0
118.0,3,1779.0
145.0,4,1779.0
140.0,5,1779.0
113.7,6,1779.0
143.0,7,1779.0
112.0,8,1779.0
111.0,9,1779.0
124.0,10,1779.0
114.0,11,1779.0
110.0,12,1779.0
70.0,1,1780.0
98.0,2,1780.0
98.0,3,1780.0
95.0,4,1780.0
107.2,5,1780.0
88.0,6,1780.0
86.0,7,1780.0
86.0,8,1780.0
93.7,9,1780.0
77.0,10,1780.0
60.0,11,1780.0
58.7,12,1780.0
98.7,1,1781.0
74.7,2,1781.0
53.0,3,1781.0
68.3,4,1781.0
104.7,5,1781.0
97.7,6,1781.0
73.5,7,1781.0
66.0,8,1781.0
51.0,9,1781.0
27.3,10,1781.0
67.0,11,1781.0
35.2,12,1781.0
54.0,1,1782.0
37.5,2,1782.0
37.0,3,1782.0
41.0,4,1782.0
54.3,5,1782.0
38.0,6,1782.0
37.0,7,1782.0
44.0,8,1782.0
34.0,9,1782.0
23.2,10,1782.0
31.5,11,1782.0
30.0,12,1782.0
28.0,1,1783.0
38.7,2,1783.0
26.7,3,1783.0
28.3,4,1783.0
23.0,5,1783.0
25.2,6,1783.0
32.2,7,1783.0
20.0,8,1783.0
18.0,9,1783.0
8.0,10,1783.0
15.0,11,1783.0
10.5,12,1783.0
13.0,1,1784.0
8.0,2,1784.0
11.0,3,1784.0
10.0,4,1784.0
6.0,5,1784.0
9.0,6,1784.0
6.0,7,1784.0
10.0,8,1784.0
10.0,9,1784.0
8.0,10,1784.0
17.0,11,1784.0
14.0,12,1784.0
6.5,1,1785.0
8.0,2,1785.0
9.0,3,1785.0
15.7,4,1785.0
20.7,5,1785.0
26.3,6,1785.0
36.3,7,1785.0
20.0,8,1785.0
32.0,9,1785.0
47.2,10,1785.0
40.2,11,1785.0
27.3,12,1785.0
37.2,1,1786.0
47.6,2,1786.0
47.7,3,1786.0
85.4,4,1786.0
92.3,5,1786.0
59.0,6,1786.0
83.0,7,1786.0
89.7,8,1786.0
111.5,9,1786.0
112.3,10,1786.0
116.0,11,1786.0
112.7,12,1786.0
134.7,1,1787.0
106.0,2,1787.0
87.4,3,1787.0
127.2,4,1787.0
134.8,5,1787.0
99.2,6,1787.0
128.0,7,1787.0
137.2,8,1787.0
157.3,9,1787.0
157.0,10,1787.0
141.5,11,1787.0
174.0,12,1787.0
138.0,1,1788.0
129.2,2,1788.0
143.3,3,1788.0
108.5,4,1788.0
113.0,5,1788.0
154.2,6,1788.0
141.5,7,1788.0
136.0,8,1788.0
141.0,9,1788.0
142.0,10,1788.0
94.7,11,1788.0
129.5,12,1788.0
114.0,1,1789.0
125.3,2,1789.0
120.0,3,1789.0
123.3,4,1789.0
123.5,5,1789.0
120.0,6,1789.0
117.0,7,1789.0
103.0,8,1789.0
112.0,9,1789.0
89.7,10,1789.0
134.0,11,1789.0
135.5,12,1789.0
103.0,1,1790.0
127.5,2,1790.0
96.3,3,1790.0
94.0,4,1790.0
93.0,5,1790.0
91.0,6,1790.0
69.3,7,1790.0
87.0,8,1790.0
77.3,9,1790.0
84.3,10,1790.0
82.0,11,1790.0
74.0,12,1790.0
72.7,1,1791.0
62.0,2,1791.0
74.0,3,1791.0
77.2,4,1791.0
73.7,5,1791.0
64.2,6,1791.0
71.0,7,1791.0
43.0,8,1791.0
66.5,9,1791.0
61.7,10,1791.0
67.0,11,1791.0
66.0,12,1791.0
58.0,1,1792.0
64.0,2,1792.0
63.0,3,1792.0
75.7,4,1792.0
62.0,5,1792.0
61.0,6,1792.0
45.8,7,1792.0
60.0,8,1792.0
59.0,9,1792.0
59.0,10,1792.0
57.0,11,1792.0
56.0,12,1792.0
56.0,1,1793.0
55.0,2,1793.0
55.5,3,1793.0
53.0,4,1793.0
52.3,5,1793.0
51.0,6,1793.0
50.0,7,1793.0
29.3,8,1793.0
24.0,9,1793.0
47.0,10,1793.0
44.0,11,1793.0
45.7,12,1793.0
45.0,1,1794.0
44.0,2,1794.0
38.0,3,1794.0
28.4,4,1794.0
55.7,5,1794.0
41.5,6,1794.0
41.0,7,1794.0
40.0,8,1794.0
11.1,9,1794.0
28.5,10,1794.0
67.4,11,1794.0
51.4,12,1794.0
21.4,1,1795.0
39.9,2,1795.0
12.6,3,1795.0
18.6,4,1795.0
31.0,5,1795.0
17.1,6,1795.0
12.9,7,1795.0
25.7,8,1795.0
13.5,9,1795.0
19.5,10,1795.0
25.0,11,1795.0
18.0,12,1795.0
22.0,1,1796.0
23.8,2,1796.0
15.7,3,1796.0
31.7,4,1796.0
21.0,5,1796.0
6.7,6,1796.0
26.9,7,1796.0
1.5,8,1796.0
18.4,9,1796.0
11.0,10,1796.0
8.4,11,1796.0
5.1,12,1796.0
14.4,1,1797.0
4.2,2,1797.0
4.0,3,1797.0
4.0,4,1797.0
7.3,5,1797.0
11.1,6,1797.0
4.3,7,1797.0
6.0,8,1797.0
5.7,9,1797.0
6.9,10,1797.0
5.8,11,1797.0
3.0,12,1797.0
2.0,1,1798.0
4.0,2,1798.0
12.4,3,1798.0
1.1,4,1798.0
0.0,5,1798.0
0.0,6,1798.0
0.0,7,1798.0
3.0,8,1798.0
2.4,9,1798.0
1.5,10,1798.0
12.5,11,1798.0
9.9,12,1798.0
1.6,1,1799.0
12.6,2,1799.0
21.7,3,1799.0
8.4,4,1799.0
8.2,5,1799.0
10.6,6,1799.0
2.1,7,1799.0
0.0,8,1799.0
0.0,9,1799.0
4.6,10,1799.0
2.7,11,1799.0
8.6,12,1799.0
6.9,1,1800.0
9.3,2,1800.0
13.9,3,1800.0
0.0,4,1800.0
5.0,5,1800.0
23.7,6,1800.0
21.0,7,1800.0
19.5,8,1800.0
11.5,9,1800.0
12.3,10,1800.0
10.5,11,1800.0
40.1,12,1800.0
27.0,1,1801.0
29.0,2,1801.0
30.0,3,1801.0
31.0,4,1801.0
32.0,5,1801.0
31.2,6,1801.0
35.0,7,1801.0
38.7,8,1801.0
33.5,9,1801.0
32.6,10,1801.0
39.8,11,1801.0
48.2,12,1801.0
47.8,1,1802.0
47.0,2,1802.0
40.8,3,1802.0
42.0,4,1802.0
44.0,5,1802.0
46.0,6,1802.0
48.0,7,1802.0
50.0,8,1802.0
51.8,9,1802.0
38.5,10,1802.0
34.5,11,1802.0
50.0,12,1802.0
50.0,1,1803.0
50.8,2,1803.0
29.5,3,1803.0
25.0,4,1803.0
44.3,5,1803.0
36.0,6,1803.0
48.3,7,1803.0
34.1,8,1803.0
45.3,9,1803.0
54.3,10,1803.0
51.0,11,1803.0
48.0,12,1803.0
45.3,1,1804.0
48.3,2,1804.0
48.0,3,1804.0
50.6,4,1804.0
33.4,5,1804.0
34.8,6,1804.0
29.8,7,1804.0
43.1,8,1804.0
53.0,9,1804.0
62.3,10,1804.0
61.0,11,1804.0
60.0,12,1804.0
61.0,1,1805.0
44.1,2,1805.0
51.4,3,1805.0
37.5,4,1805.0
39.0,5,1805.0
40.5,6,1805.0
37.6,7,1805.0
42.7,8,1805.0
44.4,9,1805.0
29.4,10,1805.0
41.0,11,1805.0
38.3,12,1805.0
39.0,1,1806.0
29.6,2,1806.0
32.7,3,1806.0
27.7,4,1806.0
26.4,5,1806.0
25.6,6,1806.0
30.0,7,1806.0
26.3,8,1806.0
24.0,9,1806.0
27.0,10,1806.0
25.0,11,1806.0
24.0,12,1806.0
12.0,1,1807.0
12.2,2,1807.0
9.6,3,1807.0
23.8,4,1807.0
10.0,5,1807.0
12.0,6,1807.0
12.7,7,1807.0
12.0,8,1807.0
5.7,9,1807.0
8.0,10,1807.0
2.6,11,1807.0
0.0,12,1807.0
0.0,1,1808.0
4.5,2,1808.0
0.0,3,1808.0
12.3,4,1808.0
13.5,5,1808.0
13.5,6,1808.0
6.7,7,1808.0
8.0,8,1808.0
11.7,9,1808.0
4.7,10,1808.0
10.5,11,1808.0
12.3,12,1808.0
7.2,1,1809.0
9.2,2,1809.0
0.9,3,1809.0
2.5,4,1809.0
2.0,5,1809.0
7.7,6,1809.0
0.3,7,1809.0
0.2,8,1809.0
0.4,9,1809.0
0.0,10,1809.0
0.0,11,1809.0
0.0,12,1809.0
0.0,1,1810.0
0.0,2,1810.0
0.0,3,1810.0
0.0,4,1810.0
0.0,5,1810.0
0.0,6,1810.0
0.0,7,1810.0
0.0,8,1810.0
0.0,9,1810.0
0.0,10,1810.0
0.0,11,1810.0
0.0,12,1810.0
0.0,1,1811.0
0.0,2,1811.0
0.0,3,1811.0
0.0,4,1811.0
0.0,5,1811.0
0.0,6,1811.0
6.6,7,1811.0
0.0,8,1811.0
2.4,9,1811.0
6.1,10,1811.0
0.8,11,1811.0
1.1,12,1811.0
11.3,1,1812.0
1.9,2,1812.0
0.7,3,1812.0
0.0,4,1812.0
1.0,5,1812.0
1.3,6,1812.0
0.5,7,1812.0
15.6,8,1812.0
5.2,9,1812.0
3.9,10,1812.0
7.9,11,1812.0
10.1,12,1812.0
0.0,1,1813.0
10.3,2,1813.0
1.9,3,1813.0
16.6,4,1813.0
5.5,5,1813.0
11.2,6,1813.0
18.3,7,1813.0
8.4,8,1813.0
15.3,9,1813.0
27.8,10,1813.0
16.7,11,1813.0
14.3,12,1813.0
22.2,1,1814.0
12.0,2,1814.0
5.7,3,1814.0
23.8,4,1814.0
5.8,5,1814.0
14.9,6,1814.0
18.5,7,1814.0
2.3,8,1814.0
8.1,9,1814.0
19.3,10,1814.0
14.5,11,1814.0
20.1,12,1814.0
19.2,1,1815.0
32.2,2,1815.0
26.2,3,1815.0
31.6,4,1815.0
9.8,5,1815.0
55.9,6,1815.0
35.5,7,1815.0
47.2,8,1815.0
31.5,9,1815.0
33.5,10,1815.0
37.2,11,1815.0
65.0,12,1815.0
26.3,1,1816.0
68.8,2,1816.0
73.7,3,1816.0
58.8,4,1816.0
44.3,5,1816.0
43.6,6,1816.0
38.8,7,1816.0
23.2,8,1816.0
47.8,9,1816.0
56.4,10,1816.0
38.1,11,1816.0
29.9,12,1816.0
36.4,1,1817.0
57.9,2,1817.0
96.2,3,1817.0
26.4,4,1817.0
21.2,5,1817.0
40.0,6,1817.0
50.0,7,1817.0
45.0,8,1817.0
36.7,9,1817.0
25.6,10,1817.0
28.9,11,1817.0
28.4,12,1817.0
34.9,1,1818.0
22.4,2,1818.0
25.4,3,1818.0
34.5,4,1818.0
53.1,5,1818.0
36.4,6,1818.0
28.0,7,1818.0
31.5,8,1818.0
26.1,9,1818.0
31.7,10,1818.0
10.9,11,1818.0
25.8,12,1818.0
32.5,1,1819.0
20.7,2,1819.0
3.7,3,1819.0
20.2,4,1819.0
19.6,5,1819.0
35.0,6,1819.0
31.4,7,1819.0
26.1,8,1819.0
14.9,9,1819.0
27.5,10,1819.0
25.1,11,1819.0
30.6,12,1819.0
19.2,1,1820.0
26.6,2,1820.0
4.5,3,1820.0
19.4,4,1820.0
29.3,5,1820.0
10.8,6,1820.0
20.6,7,1820.0
25.9,8,1820.0
5.2,9,1820.0
9.0,10,1820.0
7.9,11,1820.0
9.7,12,1820.0
21.5,1,1821.0
4.3,2,1821.0
5.7,3,1821.0
9.2,4,1821.0
1.7,5,1821.0
1.8,6,1821.0
2.5,7,1821.0
4.8,8,1821.0
4.4,9,1821.0
18.8,10,1821.0
4.4,11,1821.0
0.0,12,1821.0
0.0,1,1822.0
0.9,2,1822.0
16.1,3,1822.0
13.5,4,1822.0
1.5,5,1822.0
5.6,6,1822.0
7.9,7,1822.0
2.1,8,1822.0
0.0,9,1822.0
0.4,10,1822.0
0.0,11,1822.0
0.0,12,1822.0
0.0,1,1823.0
0.0,2,1823.0
0.6,3,1823.0
0.0,4,1823.0
0.0,5,1823.0
0.0,6,1823.0
0.5,7,1823.0
0.0,8,1823.0
0.0,9,1823.0
0.0,10,1823.0
0.0,11,1823.0
20.4,12,1823.0
21.6,1,1824.0
10.8,2,1824.0
0.0,3,1824.0
19.4,4,1824.0
2.8,5,1824.0
0.0,6,1824.0
0.0,7,1824.0
1.4,8,1824.0
20.5,9,1824.0
25.2,10,1824.0
0.0,11,1824.0
0.8,12,1824.0
5.0,1,1825.0
15.5,2,1825.0
22.4,3,1825.0
3.8,4,1825.0
15.4,5,1825.0
15.4,6,1825.0
30.9,7,1825.0
25.4,8,1825.0
15.7,9,1825.0
15.6,10,1825.0
11.7,11,1825.0
22.0,12,1825.0
17.7,1,1826.0
18.2,2,1826.0
36.7,3,1826.0
24.0,4,1826.0
32.4,5,1826.0
37.1,6,1826.0
52.5,7,1826.0
39.6,8,1826.0
18.9,9,1826.0
50.6,10,1826.0
39.5,11,1826.0
68.1,12,1826.0
34.6,1,1827.0
47.4,2,1827.0
57.8,3,1827.0
46.0,4,1827.0
56.3,5,1827.0
56.7,6,1827.0
42.9,7,1827.0
53.7,8,1827.0
49.6,9,1827.0
57.2,10,1827.0
48.2,11,1827.0
46.1,12,1827.0
52.8,1,1828.0
64.4,2,1828.0
65.0,3,1828.0
61.1,4,1828.0
89.1,5,1828.0
98.0,6,1828.0
54.3,7,1828.0
76.4,8,1828.0
50.4,9,1828.0
54.7,10,1828.0
57.0,11,1828.0
46.6,12,1828.0
43.0,1,1829.0
49.4,2,1829.0
72.3,3,1829.0
95.0,4,1829.0
67.5,5,1829.0
73.9,6,1829.0
90.8,7,1829.0
78.3,8,1829.0
52.8,9,1829.0
57.2,10,1829.0
67.6,11,1829.0
56.5,12,1829.0
52.2,1,1830.0
72.1,2,1830.0
84.6,3,1830.0
107.1,4,1830.0
66.3,5,1830.0
65.1,6,1830.0
43.9,7,1830.0
50.7,8,1830.0
62.1,9,1830.0
84.4,10,1830.0
81.2,11,1830.0
82.1,12,1830.0
47.5,1,1831.0
50.1,2,1831.0
93.4,3,1831.0
54.6,4,1831.0
38.1,5,1831.0
33.4,6,1831.0
45.2,7,1831.0
54.9,8,1831.0
37.9,9,1831.0
46.2,10,1831.0
43.5,11,1831.0
28.9,12,1831.0
30.9,1,1832.0
55.5,2,1832.0
55.1,3,1832.0
26.9,4,1832.0
41.3,5,1832.0
26.7,6,1832.0
13.9,7,1832.0
8.9,8,1832.0
8.2,9,1832.0
21.1,10,1832.0
14.3,11,1832.0
27.5,12,1832.0
11.3,1,1833.0
14.9,2,1833.0
11.8,3,1833.0
2.8,4,1833.0
12.9,5,1833.0
1.0,6,1833.0
7.0,7,1833.0
5.7,8,1833.0
11.6,9,1833.0
7.5,10,1833.0
5.9,11,1833.0
9.9,12,1833.0
4.9,1,1834.0
18.1,2,1834.0
3.9,3,1834.0
1.4,4,1834.0
8.8,5,1834.0
7.8,6,1834.0
8.7,7,1834.0
4.0,8,1834.0
11.5,9,1834.0
24.8,10,1834.0
30.5,11,1834.0
34.5,12,1834.0
7.5,1,1835.0
24.5,2,1835.0
19.7,3,1835.0
61.5,4,1835.0
43.6,5,1835.0
33.2,6,1835.0
59.8,7,1835.0
59.0,8,1835.0
100.8,9,1835.0
95.2,10,1835.0
100.0,11,1835.0
77.5,12,1835.0
88.6,1,1836.0
107.6,2,1836.0
98.1,3,1836.0
142.9,4,1836.0
111.4,5,1836.0
124.7,6,1836.0
116.7,7,1836.0
107.8,8,1836.0
95.1,9,1836.0
137.4,10,1836.0
120.9,11,1836.0
206.2,12,1836.0
188.0,1,1837.0
175.6,2,1837.0
134.6,3,1837.0
138.2,4,1837.0
111.3,5,1837.0
158.0,6,1837.0
162.8,7,1837.0
134.0,8,1837.0
96.3,9,1837.0
123.7,10,1837.0
107.0,11,1837.0
129.8,12,1837.0
144.9,1,1838.0
84.8,2,1838.0
140.8,3,1838.0
126.6,4,1838.0
137.6,5,1838.0
94.5,6,1838.0
108.2,7,1838.0
78.8,8,1838.0
73.6,9,1838.0
90.8,10,1838.0
77.4,11,1838.0
79.8,12,1838.0
107.6,1,1839.0
102.5,2,1839.0
77.7,3,1839.0
61.8,4,1839.0
53.8,5,1839.0
54.6,6,1839.0
84.7,7,1839.0
131.2,8,1839.0
132.7,9,1839.0
90.8,10,1839.0
68.8,11,1839.0
63.6,12,1839.0
81.2,1,1840.0
87.7,2,1840.0
55.5,3,1840.0
65.9,4,1840.0
69.2,5,1840.0
48.5,6,1840.0
60.7,7,1840.0
57.8,8,1840.0
74.0,9,1840.0
49.8,10,1840.0
54.3,11,1840.0
53.7,12,1840.0
24.0,1,1841.0
29.9,2,1841.0
29.7,3,1841.0
42.6,4,1841.0
67.4,5,1841.0
55.7,6,1841.0
30.8,7,1841.0
39.3,8,1841.0
35.1,9,1841.0
28.5,10,1841.0
19.8,11,1841.0
38.8,12,1841.0
20.4,1,1842.0
22.1,2,1842.0
21.7,3,1842.0
26.9,4,1842.0
24.9,5,1842.0
20.5,6,1842.0
12.6,7,1842.0
26.5,8,1842.0
18.5,9,1842.0
38.1,10,1842.0
40.5,11,1842.0
17.6,12,1842.0
13.3,1,1843.0
3.5,2,1843.0
8.3,3,1843.0
8.8,4,1843.0
21.1,5,1843.0
10.5,6,1843.0
9.5,7,1843.0
11.8,8,1843.0
4.2,9,1843.0
5.3,10,1843.0
19.1,11,1843.0
12.7,12,1843.0
9.4,1,1844.0
14.7,2,1844.0
13.6,3,1844.0
20.8,4,1844.0
12.0,5,1844.0
3.7,6,1844.0
21.2,7,1844.0
23.9,8,1844.0
6.9,9,1844.0
21.5,10,1844.0
10.7,11,1844.0
21.6,12,1844.0
25.7,1,1845.0
43.6,2,1845.0
43.3,3,1845.0
56.9,4,1845.0
47.8,5,1845.0
31.1,6,1845.0
30.6,7,1845.0
32.3,8,1845.0
29.6,9,1845.0
40.7,10,1845.0
39.4,11,1845.0
59.7,12,1845.0
38.7,1,1846.0
51.0,2,1846.0
63.9,3,1846.0
69.2,4,1846.0
59.9,5,1846.0
65.1,6,1846.0
46.5,7,1846.0
54.8,8,1846.0
107.1,9,1846.0
55.9,10,1846.0
60.4,11,1846.0
65.5,12,1846.0
62.6,1,1847.0
44.9,2,1847.0
85.7,3,1847.0
44.7,4,1847.0
75.4,5,1847.0
85.3,6,1847.0
52.2,7,1847.0
140.6,8,1847.0
161.2,9,1847.0
180.4,10,1847.0
138.9,11,1847.0
109.6,12,1847.0
159.1,1,1848.0
111.8,2,1848.0
108.9,3,1848.0
107.1,4,1848.0
102.2,5,1848.0
123.8,6,1848.0
139.2,7,1848.0
132.5,8,1848.0
100.3,9,1848.0
132.4,10,1848.0
114.6,11,1848.0
159.9,12,1848.0
156.7,1,1849.0
131.7,2,1849.0
96.5,3,1849.0
102.5,4,1849.0
80.6,5,1849.0
81.2,6,1849.0
78.0,7,1849.0
61.3,8,1849.0
93.7,9,1849.0
71.5,10,1849.0
99.7,11,1849.0
97.0,12,1849.0
78.0,1,1850.0
89.4,2,1850.0
82.6,3,1850.0
44.1,4,1850.0
61.6,5,1850.0
70.0,6,1850.0
39.1,7,1850.0
61.6,8,1850.0
86.2,9,1850.0
71.0,10,1850.0
54.8,11,1850.0
60.0,12,1850.0
75.5,1,1851.0
105.4,2,1851.0
64.6,3,1851.0
56.5,4,1851.0
62.6,5,1851.0
63.2,6,1851.0
36.1,7,1851.0
57.4,8,1851.0
67.9,9,1851.0
62.5,10,1851.0
50.9,11,1851.0
71.4,12,1851.0
68.4,1,1852.0
67.5,2,1852.0
61.2,3,1852.0
65.4,4,1852.0
54.9,5,1852.0
46.9,6,1852.0
42.0,7,1852.0
39.7,8,1852.0
37.5,9,1852.0
67.3,10,1852.0
54.3,11,1852.0
45.4,12,1852.0
41.1,1,1853.0
42.9,2,1853.0
37.7,3,1853.0
47.6,4,1853.0
34.7,5,1853.0
40.0,6,1853.0
45.9,7,1853.0
50.4,8,1853.0
33.5,9,1853.0
42.3,10,1853.0
28.8,11,1853.0
23.4,12,1853.0
15.4,1,1854.0
20.0,2,1854.0
20.7,3,1854.0
26.4,4,1854.0
24.0,5,1854.0
21.1,6,1854.0
18.7,7,1854.0
15.8,8,1854.0
22.4,9,1854.0
12.7,10,1854.0
